key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K1,Application | Bytes | Outbound Interface | Source Port,6,42,True,True,1048576,835619,0.7969083786010742,212957,749350,0.8967603656690429,749350,0.7146358489990234,25,183,38,3.62396240234375e-05,0.9999637603759766,1.0,2.0,2.0,4827
K2,Application | Bytes | Destination Country | Source Port,6,42,True,True,1048576,840621,0.8016786575317383,207955,756871,0.9003712731421175,756871,0.7218084335327148,8,51,9,8.58306884765625e-06,0.9999914169311523,1.0,1.0,2.0,4806
K3,Bytes | Destination Port | Outbound Interface | Source Port,6,42,True,True,1048576,937359,0.8939352035522461,111217,887825,0.9471557855634821,887825,0.8466958999633789,23,151,28,2.6702880859375e-05,0.9999732971191406,1.0,1.0,2.0,2364
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,6,42,True,True,1048576,835233,0.7965402603149414,213343,748772,0.8964827778595913,748772,0.7140846252441406,26,185,39,3.719329833984375e-05,0.9999628067016602,1.0,2.0,2.0,4827
K5,Bytes | Category of app | Outbound Interface | Source Port,6,42,True,True,1048576,835117,0.7964296340942383,213459,748589,0.8963881707593068,748589,0.7139101028442383,39,248,56,5.340576171875e-05,0.9999465942382812,1.0,2.0,2.0,4827
K6,Bytes | Outbound Interface | Source Port | Technology of app,6,42,True,True,1048576,834732,0.7960624694824219,213844,748016,0.8961151603149274,748016,0.7133636474609375,35,232,55,5.245208740234375e-05,0.9999475479125977,1.0,2.0,2.0,4827
K7,Bytes | Outbound Interface | Risk of app | Source Port,6,42,True,True,1048576,835449,0.7967462539672852,213127,749093,0.8966352224971244,749093,0.714390754699707,28,190,41,3.910064697265625e-05,0.9999608993530273,1.0,2.0,2.0,4827
K1,Application | Bytes | Outbound Interface | Source Port,7,42,True,True,1048576,835027,0.7963438034057617,213549,748648,0.896555440722276,748648,0.7139663696289062,21,309,32,3.0517578125e-05,0.999969482421875,1.0,2.0,2.0,4721
K2,Application | Bytes | Destination Country | Source Port,7,42,True,True,1048576,840038,0.8011226654052734,208538,756194,0.9001902294896184,756194,0.7211627960205078,11,187,12,1.1444091796875e-05,0.9999885559082031,1.0,1.0,2.0,4701
K3,Bytes | Destination Port | Outbound Interface | Source Port,7,42,True,True,1048576,936872,0.8934707641601562,111704,886906,0.9466672074733795,886906,0.8458194732666016,17,288,23,2.193450927734375e-05,0.9999780654907227,1.0,1.0,2.0,2199
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,7,42,True,True,1048576,834612,0.7959480285644531,213964,748034,0.8962655701092244,748034,0.7133808135986328,23,314,34,3.24249267578125e-05,0.9999675750732422,1.0,2.0,2.0,4721
K5,Bytes | Category of app | Outbound Interface | Source Port,7,42,True,True,1048576,834471,0.7958135604858398,214105,747814,0.8961533714173411,747814,0.7131710052490234,40,396,55,5.245208740234375e-05,0.9999475479125977,1.0,2.0,2.0,4721
K6,Bytes | Outbound Interface | Source Port | Technology of app,7,42,True,True,1048576,834099,0.7954587936401367,214477,747258,0.8958864595209921,747258,0.7126407623291016,27,353,47,4.482269287109375e-05,0.9999551773071289,1.0,2.0,2.0,4721
